labels,ENG,JPN,DEU,NLD,ELL
### pack0,127,1858
prgerrlod,Error while loading.,ロードちゅうにエラーがはっせいしました。,Fehler beim Laden.,Fout bij laden.,Σφάλμα κατά τη φόρτωση.
prgwintit,Control Panel,コントロールパネル,Systemsteuerung,Configuratiescherm,Πίνακας Ελέγχου
prgwinsta,8 Object(s),８オブジェクト,8 Element(e),8 objecten,8 Αντικείμενα
prgwinmentx1,File,ファイル,Datei,Bestand,Αρχείο
prgwinmentx2,?,？,?,?,?
prgwinmen1tx1,Load settings,せっていをロード,Laden,Instellingen laden,Φόρτωση ρυθμίσεων
prgwinmen1tx2,Save settings,せっていをセーブ,Speichern,Instellingen opslaan,Αποθήκευση ρυθμίσεων
prgwinmen1tx3,Autosave,オートセーブ,Autom.speichern,Auto-opslag,Αυτόματη αποθήκευση
prgwinmen1tx4,Close,とじる,Beenden,Sluiten,Κλείσιμο
prgwinmen2tx1,Helptopics,ヘルプトピック,Hilfethemen,Help,Θέματα βοήθειας
prgwinmen2tx2,Info,じょうほう,Info,Info,Πληροφορίες
prgicnkey1a,Keyboard,キーホﾞートﾞ,Tastatur,Toetsen-,Πληκτρο-
prgicnkey1b,,,,bord,λόγιο
prgicnmou2a,Mouse,マウス,Maus,Muis,Ποντίκι
prgicnmou2b,,,,,
prgicndsp3a,Display,テﾞィスフﾟレイ,Anzeige,Weergave,Οθόνη
prgicndsp3b,,,,,
prgicntim4a,Date and,日時,Datum &,Datum en,Ημερομ.
prgicntim4b,Time,,Uhrzeit,Tijd,και Ώρα
prgicnfnt5a,Font and,フォント and,Schriftart,Lettertype,Γραμ 
prgicnfnt5b,Language,#TRANSLATE#,& Sprache,en taal,και Γλώσσα
prgicnsys6a,System,システム,System,Systeem,Σύστημα
prgicnsys6b,,,,,
prgicndev7a,Mass,マス,Massen-,Opslag,Μαζική
prgicndev7b,Storage,ストレーシﾞ,speicher,Bronnen,Αποθ.
prgicnlnk8a,Desktop,デスクトップ,Verknüpfungen,Bureaublad,Συντομεύσεις
prgicnlnk8b,Shortcuts,リンク,,Snelkoppelingen,
prgicnlnk8c,Startmenu,スタートメニュー,Startmenü,Startmenu,Μενού
prgtitkey,Keyboard,キーホﾞートﾞ,Tastatur,Toetsenbord,Πληκτρολόγιο
prgtitmou,Mouse,マウス,Maus,Muis,Ποντίκι
prgtitfnt,Font and Language,フォント,Schriftart und Sprache,Lettertype en taal,Γραμματοσειρά και Γλώσσα
prgtitsys,System,システム,System,Systeem,Σύστημα
prgtitlnk,Desktop and Startmenu Links,デスクトップとスタートメニューのリンク,Verknüpfungen,Bureaublad en Startmenu,Συντομεύσεις
prgbuttxt1,Ok,OK,Ok,OK,ΟΚ
prgbuttxt2,Cancel,キャンセル,Abbruch,Annuleer,Άκυρο
prgbuttxt3,Apply,てきよう,Überneh.,Bevestig,Εφαρμ.
prgbuttxt4,Load,ロード,Laden,Laden,Φόρτ.
prgbuttxt5,Save,セーブ,Speichern,Opslaan,Αποθ.
prgtitdev,Mass Storage Devices,マスストレージデバイス,Massenspeicher,Opslagapparaten,Συσκ. Αποθ. 
prgtxtdev1,Drives,ドライブ,Laufwerke,Stations,Μονάδες
prgtxtdev2,Settings,せってい,Einstellungen,Instellingen,Ρυθμίσεις
prgtxtdev3,Del,-,-,-,Διαγραφή
prgtxtdev4,Add,+,+,+,Προσθήκη
prgtxtdev5,Name,なまえ,Name,Naam,Όνομα
prgtxtdev6,Floppy disk,フロッピーディスク,Diskette,Diskette,Δισκέτα
prgtxtdev7,IDE device,IDEデバイス,IDE Gerät,IDE-apparaat,Συσκευή IDE
prgtxtdeva,SD/MMC card reader,SD／MMCカードリーダー,SD/MMC Leser,SD/MMC-lezer,SD/MMC reader
prgtxtdevb,SCSI/USB device,SCSI／USBデバイス,SCSI/USB Gerät,SCSI/USB-apparaat,Συσκευή SCSI/USB
prgtxtdev8,Removeable medium,リムーバブルメディア,Wechseldatenträger,Verwisselbaar medium,Αφαιρούμενο μέσο
prgtxtdev9,Specifics,くわしく,Spezifisch,Details,Λεπτομέρειες
prgtxtdeve,Drive letter,ドライブレター,Laufwerkbuchs.,Stationletter.,Γράμμα μονάδας
prgtxtdevf,Double step,ダブルステップ,Doppelschritt,Dubbele stap,Διπλό βήμα
prgtabdevba,Master,マスター,Master,Master,Κύρια
prgtabdevbb,Slave,スレーブ,Slave,Slave,Δευτερεύουσα
prgtabdevca,Slot 1,スロット１,Slot 1,Slot 1,Θέση 1
prgtabdevcb,Slot 2,スロット２,Slot 2,Slot 2,Θέση 2
prgtabdevda,Device 0,デバイス０,Gerät 0,Appar.0,Συσκ. 0
prgtabdevdb,Device 1,デバイス１,Gerät 1,Appar.1,Συσκ. 1
prgtabdevdc,Device 2,デバイス２,Gerät 2,Appar.2,Συσκ. 2
prgtabdevdd,Device 3,デバイス３,Gerät 3,Appar.3,Συσκ. 3
prgtabdevde,Device 4,デバイス４,Gerät 4,Appar.4,Συσκ. 4
prgtabdevdf,Device 5,デバイス５,Gerät 5,Appar.5,Συσκ. 5
prgtabdevdg,Device 6,デバイス６,Gerät 6,Appar.6,Συσκ. 6
prgtabdevdh,Device 7,デバイス７,Gerät 7,Appar.7,Συσκ. 7
prgtabdevxa,Head 0,ヘッド０,Kopf 0,Kop 0,Κεφαλή 0
prgtabdevxb,Head 1,ヘッド１,Kopf 1,Kop 1,Κεφαλή 1
prgtabdevya,Not partitioned,パーティションなし,Nicht partitioniert,Geen partitie,Χωρίς διαμέριση
prgtabdevyb,Primary partition 1,プライマリーパーティション１,Prim.Partition 1,Partition 1,διαμέρισμα 1
prgtabdevyc,Primary partition 2,プライマリーパーティション２,Prim.Partition 2,Partition 2,διαμέρισμα 2
prgtabdevyd,Primary partition 3,プライマリーパーティション３,Prim.Partition 3,Partition 3,διαμέρισμα 3
prgtabdevye,Primary partition 4,プライマリーパーティション４,Prim.Partition 4,Partition 4,διαμέρισμα 4
keyobjtxt1,Definitions,ていぎ,Belegung,Definities,Ορισμοί
keyobjtxt2,Speed,スピード,Geschwindigkeit,Snelheid,Ταχύτητα
keyobjtxt3,Buttons,ボタン,Taste,Knoppen,Κουμπιά
keyobjtxta,Key,キー,Taste,Toets,Πλήκτρο
keyobjtxtb,Normal,ノーマル,Normal,Norm.,Κανονικό
keyobjtxtc,Shift,シフト,Umsch.,Shift,Shift
keyobjtxtd,Control,コントロ,Strg,Ctrl,Control
keyobjtxte,Alt,Alt,Alt,Alt,Alt
keyobjtxtk,Delay,ディレイ,Verzög.,Vertrg.,Καθυστέρηση
keyobjtxtl,Repeat,リピート,Wdh.rate,Herhaal,Επανάληψη
keyobjtxtm,Test,テスト,Test,Test,Δοκιμή
mouobjtxt1,Joystick Settings,ジョイスティックせってい,Joystick,Joystickinstellingen,Ρυθμίσεις Joystick
mouobjtxt2,Mouse Settings,マウスせってい,Maus,Muisinstellingen,Ρυθμίσεις Ποντικιού
